Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	MYB111	RAP2.3_2	14	941	267	0.0737025	0.29481	1	1	AT1G07920;AT1G74050;AT2G30870;AT3G18740;AT3G60245;AT3G60770;AT4G05320;AT5G02500;AT5G08790;AT5G18380;AT5G47210;AT5G53460;AT5G57290;AT5G64140;
G1	MYB111	RAP2.3_3ARY	14	959	267	0.0829257	0.298571	1	1	AT1G07920;AT1G74050;AT2G30870;AT3G04400;AT3G05590;AT3G18740;AT3G60245;AT4G05320;AT4G14960;AT5G08790;AT5G18380;AT5G53460;AT5G57290;AT5G64140;
G1	MYB111	RAP2.6	10	947	267	0.43181	0.43181	1	1	AT1G74050;AT3G05560;AT3G18740;AT3G60245;AT3G60770;AT5G08790;AT5G18380;AT5G47210;AT5G53460;AT5G64140;
G1	MYB111	RAP2.6_2	11	945	267	0.306374	0.326152	1	1	AT1G07920;AT1G65930;AT1G74050;AT2G30870;AT3G18740;AT5G02500;AT5G08790;AT5G18380;AT5G53460;AT5G60390;AT5G64140;
G1	MYB111	RAP2.6_3ARY	12	921	267	0.182241	0.326152	1	1	AT1G18540;AT1G74050;AT2G30870;AT3G05590;AT3G18740;AT3G60770;AT4G05320;AT4G14960;AT5G08790;AT5G18380;AT5G53460;AT5G60390;
G1	MYB111	RRTF1	10	939	267	0.42141	0.42141	1	1	AT1G74050;AT3G05560;AT3G18740;AT3G60245;AT3G60770;AT5G08790;AT5G18380;AT5G47210;AT5G53460;AT5G64140;
G1	MYB111	RRTF1_2	12	909	267	0.171368	0.326152	1	1	AT1G07920;AT1G74050;AT2G30870;AT3G18740;AT3G60245;AT3G60770;AT4G14960;AT5G08790;AT5G18380;AT5G47210;AT5G53460;AT5G57290;
G1	MYB111	RRTF1_3ARY	11	917	267	0.27381	0.326152	1	1	AT1G07920;AT1G74050;AT2G30870;AT3G18740;AT3G60245;AT3G60770;AT4G14960;AT5G08790;AT5G18380;AT5G53460;AT5G57290;
G1	MYB111	RVE1	5	799	267	0.887514	0.887514	1	1	AT2G41430;AT4G39090;AT5G02500;AT5G17920;AT5G53460;
G1	MYB111	RVE1_2	10	885	267	0.351499	0.351499	1	1	AT1G65930;AT2G41430;AT3G23830;AT3G25520;AT3G58610;AT4G05320;AT5G17920;AT5G19510;AT5G60390;AT5G62700;
G1	MYB111_2	MYB46	0	6	267	1	1	1	1	
