Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	RAP2.3_2	RRTF1_2	0	16	267	1	1	1	1	
G1	RAP2.3_2	RRTF1_3ARY	0	9	267	1	1	1	1	
G1	RAP2.3_2	RVE1	10	588	267	0.0604976	0.253524	1	1	AT1G33120;AT1G33140;AT2G14890;AT3G01280;AT4G27090;AT5G02500;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	RAP2.3_2	RVE1_2	8	634	267	0.270783	0.326152	1	1	AT3G01280;AT3G62420;AT4G05320;AT4G27090;AT5G08670;AT5G47930;AT5G55190;AT5G56670;
G1	RAP2.3_3ARY	RAP2.6	58	3541	267	3.30844e-05	0.00860193	0.00883352	0.0516116	AT1G01100;AT1G04410;AT1G14320;AT1G15930;AT1G17880;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT1G78040;AT2G04390;AT2G14890;AT2G17360;AT2G27720;AT2G36160;AT2G39460;AT2G43460;AT3G02080;AT3G14600;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G59540;AT3G60245;AT3G61110;AT3G62420;AT4G15910;AT4G23630;AT4G26230;AT4G27090;AT4G40040;AT5G02450;AT5G02960;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G14800;AT5G18380;AT5G20290;AT5G23740;AT5G47930;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;AT5G64140;
G1	RAP2.3_3ARY	RAP2.6_2	2	115	267	0.305006	0.326152	1	1	AT3G02080;AT3G56020;
G1	RAP2.3_3ARY	RAP2.6_3ARY	46	2957	267	0.000782006	0.026491	0.208796	1	AT1G04270;AT1G04410;AT1G17880;AT1G20580;AT1G22780;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT1G78040;AT2G04390;AT2G14890;AT2G17360;AT2G27720;AT2G30870;AT3G01280;AT3G02080;AT3G05590;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G61110;AT4G05320;AT4G14960;AT4G15910;AT4G23630;AT4G29410;AT4G40040;AT5G02450;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G14800;AT5G18380;AT5G20290;AT5G41520;AT5G47930;AT5G53300;AT5G53460;AT5G56670;AT5G59850;
G1	RAP2.3_3ARY	RRTF1	59	3504	267	1.21904e-05	0.00579014	0.00325483	0.019017	AT1G01100;AT1G04410;AT1G14320;AT1G15930;AT1G17880;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G27720;AT2G36160;AT2G39460;AT2G43460;AT3G01280;AT3G02080;AT3G07110;AT3G14600;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G59540;AT3G60245;AT3G61110;AT3G62420;AT4G15910;AT4G23630;AT4G26230;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G02960;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G14800;AT5G18380;AT5G20290;AT5G23740;AT5G47930;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;AT5G64140;
G1	RAP2.3_3ARY	RRTF1_2	0	30	267	1	1	1	1	
G1	RAP2.3_3ARY	RRTF1_3ARY	0	24	267	1	1	1	1	
G1	RAP2.3_3ARY	RVE1	11	575	267	0.0247562	0.163473	1	1	AT1G04480;AT1G33120;AT1G33140;AT2G14890;AT2G23120;AT3G01280;AT4G27090;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	RAP2.3_3ARY	RVE1_2	9	639	267	0.167404	0.326152	1	1	AT3G01280;AT3G62420;AT3G62870;AT4G05320;AT4G27090;AT5G08670;AT5G47930;AT5G55190;AT5G56670;
G1	RAP2.6	RAP2.6_2	42	2726	267	0.00163248	0.0326497	0.435873	1	AT1G01100;AT1G04410;AT1G14320;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G19740;AT2G39460;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G61110;AT3G62420;AT4G14320;AT4G15910;AT4G33865;AT4G40040;AT5G02450;AT5G02960;AT5G07090;AT5G08670;AT5G08790;AT5G14800;AT5G18380;AT5G20290;AT5G44340;AT5G47930;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	RAP2.6	RAP2.6_3ARY	42	2634	267	0.000840757	0.026491	0.224482	1	AT1G04410;AT1G17880;AT1G20580;AT1G22780;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G78040;AT2G04390;AT2G14890;AT2G17360;AT2G19740;AT2G27720;AT2G31610;AT2G47610;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G60770;AT3G61110;AT4G14320;AT4G15910;AT4G23630;AT4G33865;AT4G40040;AT5G02450;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G47930;AT5G53300;AT5G53460;AT5G56670;AT5G59850;
G1	RAP2.6	RRTF1	2	52	267	0.0899389	0.298571	1	1	AT1G74060;AT5G14800;
G1	RAP2.6	RRTF1_2	53	3699	267	0.00194582	0.0369705	0.519533	1	AT1G01100;AT1G04410;AT1G15930;AT1G17880;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G14890;AT2G17360;AT2G27720;AT2G39460;AT2G47110;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G56340;AT3G59540;AT3G60245;AT3G60770;AT3G61110;AT3G62420;AT4G15910;AT4G23630;AT4G26230;AT4G27090;AT4G40040;AT5G02450;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G08790;AT5G18380;AT5G20290;AT5G47210;AT5G47930;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;
G1	RAP2.6	RRTF1_3ARY	55	3839	267	0.00157797	0.0326497	0.421317	1	AT1G04410;AT1G15930;AT1G17880;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G14890;AT2G17360;AT2G27720;AT2G39460;AT2G43460;AT2G47110;AT3G02080;AT3G14600;AT3G18740;AT3G45030;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G59540;AT3G60245;AT3G60770;AT3G61110;AT3G62420;AT4G15910;AT4G23630;AT4G26230;AT4G27090;AT4G40040;AT5G02450;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G47930;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;
G1	RAP2.6	RVE1	9	565	267	0.0986388	0.298571	1	1	AT1G33120;AT1G33140;AT2G14890;AT4G27090;AT5G07090;AT5G44340;AT5G47930;AT5G53460;AT5G56670;
G1	RAP2.6	RVE1_2	6	643	267	0.59022	0.59022	1	1	AT3G62420;AT4G27090;AT5G08670;AT5G47930;AT5G55190;AT5G56670;
G1	RAP2.6_2	RAP2.6_3ARY	42	2896	267	0.00489225	0.0635993	1	1	AT1G04410;AT1G08360;AT1G17880;AT1G20580;AT1G22780;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G19740;AT2G30870;AT3G01280;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT3G61110;AT4G14320;AT4G15910;AT4G29410;AT4G33865;AT4G34870;AT4G40040;AT5G02450;AT5G07090;AT5G08670;AT5G08790;AT5G14800;AT5G16130;AT5G18380;AT5G20290;AT5G41520;AT5G47930;AT5G53460;AT5G56670;AT5G59850;AT5G60390;
G1	RAP2.6_2	RRTF1	44	2774	267	0.000695092	0.026491	0.18559	1	AT1G01100;AT1G04410;AT1G14320;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G39460;AT3G01280;AT3G02080;AT3G07110;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G61110;AT3G62420;AT4G14320;AT4G15910;AT4G29410;AT4G33865;AT4G40040;AT5G02450;AT5G02960;AT5G07090;AT5G08670;AT5G08790;AT5G14800;AT5G18380;AT5G20290;AT5G44340;AT5G47930;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G64140;
G1	RAP2.6_2	RRTF1_2	2	74	267	0.160213	0.320427	1	1	AT3G02080;AT3G56020;
G1	RAP2.6_2	RRTF1_3ARY	2	153	267	0.435723	0.435723	1	1	AT3G02080;AT3G56020;
G1	RAP2.6_2	RVE1	10	611	267	0.0739082	0.295633	1	1	AT1G33120;AT1G33140;AT2G21660;AT3G01280;AT5G02500;AT5G07090;AT5G44340;AT5G47930;AT5G53460;AT5G56670;
G1	RAP2.6_2	RVE1_2	10	685	267	0.128827	0.320427	1	1	AT1G65930;AT2G21660;AT3G01280;AT3G49010;AT3G62420;AT5G08670;AT5G47930;AT5G55190;AT5G56670;AT5G60390;
G1	RAP2.6_3ARY	RRTF1	43	2725	267	0.000893263	0.026491	0.238501	1	AT1G04410;AT1G17880;AT1G20580;AT1G22780;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G27720;AT2G31610;AT2G47610;AT3G01280;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G60770;AT3G61110;AT4G14320;AT4G15910;AT4G23630;AT4G29410;AT4G33865;AT4G40040;AT5G02450;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G14800;AT5G18380;AT5G20290;AT5G47930;AT5G53300;AT5G53460;AT5G56670;AT5G59850;
G1	RAP2.6_3ARY	RRTF1_2	42	2868	267	0.00412768	0.0536598	1	1	AT1G04410;AT1G17880;AT1G20580;AT1G22780;AT1G33120;AT1G33140;AT1G56045;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G14890;AT2G17360;AT2G27720;AT2G30870;AT3G01280;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT3G60770;AT3G61110;AT4G14960;AT4G15910;AT4G23630;AT4G29410;AT4G40040;AT5G02450;AT5G07090;AT5G08670;AT5G08790;AT5G18380;AT5G20290;AT5G41520;AT5G47930;AT5G53300;AT5G53460;AT5G56670;AT5G59850;
G1	RAP2.6_3ARY	RRTF1_3ARY	43	3021	267	0.00611322	0.0733586	1	1	AT1G04410;AT1G17880;AT1G20580;AT1G22780;AT1G33120;AT1G33140;AT1G56045;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G14890;AT2G17360;AT2G27720;AT2G30870;AT3G01280;AT3G02080;AT3G18740;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G60770;AT3G61110;AT4G14960;AT4G15910;AT4G23630;AT4G29410;AT4G40040;AT5G02450;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G41520;AT5G47930;AT5G53300;AT5G53460;AT5G56670;AT5G59850;
G1	RAP2.6_3ARY	RVE1	8	600	267	0.225456	0.326152	1	1	AT1G33120;AT1G33140;AT2G14890;AT3G01280;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	RAP2.6_3ARY	RVE1_2	7	677	267	0.480608	0.480608	1	1	AT3G01280;AT4G05320;AT5G08670;AT5G47930;AT5G56670;AT5G60390;AT5G64310;
G1	RRTF1	RRTF1_2	55	3714	267	0.000731058	0.026491	0.195192	1	AT1G01100;AT1G04410;AT1G15930;AT1G17880;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT2G04390;AT2G17360;AT2G27720;AT2G39460;AT2G47110;AT3G01280;AT3G02080;AT3G07110;AT3G18740;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G56340;AT3G59540;AT3G60245;AT3G60770;AT3G61110;AT3G62420;AT4G15910;AT4G23630;AT4G26230;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G08790;AT5G18380;AT5G20290;AT5G47210;AT5G47930;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;
G1	RRTF1	RRTF1_3ARY	56	3835	267	0.000907011	0.026491	0.242172	1	AT1G04410;AT1G15930;AT1G17880;AT1G20580;AT1G22780;AT1G27400;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT2G04390;AT2G17360;AT2G27720;AT2G39460;AT2G43460;AT2G47110;AT3G01280;AT3G02080;AT3G14600;AT3G18740;AT3G45030;AT3G46040;AT3G53020;AT3G53870;AT3G53890;AT3G56020;AT3G59540;AT3G60245;AT3G60770;AT3G61110;AT3G62420;AT4G15910;AT4G23630;AT4G26230;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G02960;AT5G04800;AT5G07090;AT5G08670;AT5G08790;AT5G11740;AT5G18380;AT5G20290;AT5G47930;AT5G53300;AT5G53460;AT5G55190;AT5G56670;AT5G59850;AT5G61170;AT5G63790;
G1	RRTF1	RVE1	11	573	267	0.0242139	0.163473	1	1	AT1G33120;AT1G33140;AT3G01280;AT4G27090;AT5G07090;AT5G09510;AT5G44340;AT5G47930;AT5G53460;AT5G56670;AT5G62300;
G1	RRTF1	RVE1_2	7	643	267	0.427591	0.427591	1	1	AT3G01280;AT3G62420;AT4G27090;AT5G08670;AT5G47930;AT5G55190;AT5G56670;
G1	RRTF1_2	RRTF1_3ARY	0	14	267	1	1	1	1	
G1	RRTF1_2	RVE1	10	588	267	0.0604976	0.253524	1	1	AT1G33120;AT1G33140;AT2G14890;AT3G01280;AT4G27090;AT4G31290;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	RRTF1_2	RVE1_2	7	651	267	0.440147	0.440147	1	1	AT3G01280;AT3G62420;AT4G27090;AT5G08670;AT5G47930;AT5G55190;AT5G56670;
G1	RRTF1_3ARY	RVE1	10	612	267	0.0745304	0.298122	1	1	AT1G33120;AT1G33140;AT2G14890;AT3G01280;AT4G27090;AT4G31290;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	RRTF1_3ARY	RVE1_2	9	652	267	0.181389	0.326152	1	1	AT3G01280;AT3G62420;AT3G62870;AT4G27090;AT4G39200;AT5G08670;AT5G47930;AT5G55190;AT5G56670;
G1	RVE1	RVE1_2	16	1945	267	0.781078	0.781078	1	1	AT1G02780;AT2G01250;AT2G21580;AT2G21660;AT2G41430;AT3G01280;AT3G02230;AT3G17390;AT3G52590;AT4G10480;AT4G27090;AT5G05410;AT5G17920;AT5G47930;AT5G56670;AT5G58420;
S	ARR11	ARR11_2	4	330	186	0.183028	0.183028	1	1	AT1G51060;AT1G70490;AT2G47170;AT5G56670;
S	ARR11	ARR11_3ARY	8	551	186	0.033466	0.116218	1	1	AT1G08830;AT1G20696;AT2G47170;AT3G24830;AT5G10400;AT5G39570;AT5G56670;AT5G59910;
S	ARR11	ARR14	37	2891	186	9.2158e-05	0.0239611	0.0171414	0.143766	AT1G04270;AT1G08830;AT1G15930;AT1G20696;AT1G22840;AT1G51060;AT1G63000;AT1G72020;AT1G78040;AT1G78900;AT2G17560;AT2G27720;AT2G36620;AT2G45070;AT2G47110;AT3G08610;AT3G10920;AT3G46030;AT3G49010;AT3G49910;AT3G55440;AT4G16720;AT4G20150;AT4G30010;AT4G31985;AT4G34110;AT4G34700;AT4G38920;AT5G02450;AT5G03850;AT5G10400;AT5G22880;AT5G47030;AT5G48810;AT5G56670;AT5G59910;ATMG00030;
S	ARR11	ARR14_2	3	160	186	0.0936709	0.166451	1	1	AT1G51060;AT3G49010;AT5G56670;
S	ARR11	ARR14_3ARY	8	429	186	0.00878453	0.0592109	1	1	AT1G20696;AT1G51060;AT2G17560;AT2G47170;AT3G24830;AT3G52730;AT4G38920;AT5G59910;
S	ARR11	AT1G77200	10	974	186	0.122432	0.166451	1	1	AT1G04270;AT1G78040;AT3G10920;AT3G55440;AT5G02450;AT5G47030;AT5G48810;AT5G56030;AT5G56670;ATMG00030;
S	ARR11	AT5G28300	9	1001	186	0.233243	0.233243	1	1	AT1G15930;AT1G22840;AT1G51060;AT1G69620;AT2G28740;AT3G08610;AT3G60245;AT4G34110;AT5G56670;
S	ARR11	ATERF1	14	1039	186	0.0108254	0.0649524	1	1	AT1G72020;AT1G78040;AT2G17560;AT2G27720;AT3G09840;AT3G10920;AT3G46030;AT3G49910;AT3G60245;AT4G34110;AT5G02450;AT5G39570;AT5G56670;ATMG00030;
S	ARR11	ATERF1_2	12	1047	186	0.051156	0.152706	1	1	AT1G15930;AT2G27720;AT3G10920;AT3G46030;AT3G49910;AT3G60245;AT4G30010;AT4G34110;AT5G22880;AT5G39570;AT5G47030;AT5G56670;
S	ARR11	CCA1	9	917	186	0.166451	0.166451	1	1	AT1G08830;AT1G20696;AT1G78040;AT2G01250;AT2G17560;AT3G08610;AT3G45980;AT4G34110;AT5G56670;
S	ARR11	CCA1_2	24	2323	186	0.0232411	0.0929643	1	1	AT1G22840;AT1G51060;AT1G63000;AT1G69620;AT1G72020;AT1G78900;AT2G17560;AT2G28740;AT3G45980;AT3G49010;AT3G52730;AT3G55440;AT4G20150;AT4G31985;AT4G34110;AT4G38920;AT5G02450;AT5G22880;AT5G27850;AT5G39570;AT5G47030;AT5G48810;AT5G56030;AT5G56670;
S	ARR11	DDF1	10	957	186	0.112713	0.166451	1	1	AT1G04270;AT1G70490;AT1G78040;AT3G10920;AT4G34700;AT5G02450;AT5G10400;AT5G15320;AT5G39570;AT5G56030;
S	ARR11	DREB2C	12	1012	186	0.0414205	0.124261	1	1	AT1G15930;AT1G72020;AT2G47110;AT3G09840;AT3G10920;AT3G46030;AT4G30010;AT4G34110;AT5G22880;AT5G39570;AT5G56670;ATMG00030;
S	ARR11	DREB2C_2	12	1005	186	0.0396421	0.118926	1	1	AT1G04270;AT1G63000;AT1G78040;AT3G09840;AT3G10920;AT3G55440;AT4G14880;AT5G02450;AT5G47030;AT5G48810;AT5G56670;ATMG00030;
S	ARR11	GLK1	10	1040	186	0.164346	0.166451	1	1	AT1G22840;AT2G28740;AT2G47110;AT2G47170;AT3G49010;AT4G20150;AT4G34110;AT4G34700;AT4G38920;AT5G03850;
S	ARR11	GLK1_2	4	302	186	0.146958	0.166451	1	1	AT2G17560;AT4G20150;AT5G02450;AT5G59910;
S	ARR11	KAN1	5	927	186	0.75076	0.75076	1	1	AT1G72020;AT2G01250;AT2G28740;AT3G52730;AT5G10400;
S	ARR11	KAN4	10	975	186	0.123018	0.166451	1	1	AT1G20696;AT1G78900;AT2G01250;AT2G28740;AT3G55440;AT4G16720;AT5G02450;AT5G15320;AT5G39570;ATMG00030;
S	ARR11	KAN4_2	7	820	186	0.31489	0.31489	1	1	AT1G04270;AT1G15930;AT2G17560;AT2G28740;AT3G45980;AT4G14880;AT5G47030;
S	ARR11	MYB111	6	867	186	0.529479	0.529479	1	1	AT3G10920;AT3G60245;AT4G34700;AT5G47030;AT5G48810;ATMG00030;
S	ARR11	MYB111_2	6	869	186	0.531738	0.531738	1	1	AT1G04270;AT2G01250;AT3G60245;AT5G47030;AT5G48810;ATMG00030;
S	ARR11	MYB46	5	901	186	0.728259	0.728259	1	1	AT3G10920;AT3G60245;AT5G47030;AT5G48810;ATMG00030;
S	ARR11	MYB46_2	10	915	186	0.0906716	0.166451	1	1	AT2G01250;AT3G10920;AT3G55440;AT3G60245;AT4G14880;AT4G16720;AT5G15320;AT5G39570;AT5G47030;AT5G56670;
S	ARR11	MYB52	10	1016	186	0.148356	0.166451	1	1	AT1G78040;AT2G47170;AT3G46030;AT3G49010;AT4G34110;AT5G03850;AT5G47030;AT5G48810;AT5G56670;ATMG00030;
S	ARR11	MYB52_2	8	865	186	0.228252	0.228252	1	1	AT1G04270;AT3G10920;AT3G60245;AT5G03850;AT5G47030;AT5G48810;AT5G56030;AT5G59910;
S	ARR11	MYB55	9	925	186	0.172379	0.172379	1	1	AT2G47110;AT3G09840;AT3G10920;AT3G46030;AT3G60245;AT4G30010;AT5G47030;AT5G48810;ATMG00030;
S	ARR11	MYB55_2	8	887	186	0.248477	0.248477	1	1	AT1G04270;AT3G10920;AT3G55440;AT3G60245;AT4G14880;AT5G47030;AT5G48810;AT5G56670;
S	ARR11	MYB59	7	897	186	0.399067	0.399067	1	1	AT2G01250;AT2G47110;AT3G10920;AT3G46030;AT4G30010;AT5G02450;AT5G47030;
S	ARR11	RAP2.3	13	1067	186	0.0287121	0.114848	1	1	AT1G15930;AT1G72020;AT2G17560;AT2G27720;AT2G47110;AT3G10920;AT3G60245;AT4G34110;AT5G02450;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RAP2.3_2	15	1065	186	0.00574106	0.0494806	1	1	AT1G15930;AT1G72020;AT1G78040;AT2G17560;AT2G27720;AT3G10920;AT3G46030;AT3G60245;AT4G34110;AT5G02450;AT5G22880;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RAP2.3_3ARY	15	1033	186	0.00436183	0.044976	0.811299	1	AT1G04270;AT1G15930;AT1G72020;AT1G78040;AT2G17560;AT2G27720;AT3G09840;AT3G10920;AT3G60245;AT4G34110;AT5G02450;AT5G47030;AT5G48810;AT5G56670;ATMG00030;
S	ARR11	RAP2.6	14	1051	186	0.0118731	0.0712388	1	1	AT1G15930;AT1G72020;AT1G78040;AT2G17560;AT2G27720;AT2G47110;AT3G10920;AT3G60245;AT4G34110;AT5G02450;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RAP2.6_2	10	1029	186	0.156914	0.166451	1	1	AT1G72020;AT1G78900;AT3G10920;AT3G49010;AT5G02450;AT5G22880;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RAP2.6_3ARY	13	1014	186	0.0199951	0.0869288	1	1	AT1G04270;AT1G78040;AT1G78900;AT2G27720;AT2G36620;AT3G10920;AT3G46030;AT4G34110;AT5G02450;AT5G22880;AT5G39570;AT5G56670;ATMG00030;
S	ARR11	RRTF1	13	1045	186	0.0248082	0.0992329	1	1	AT1G15930;AT1G72020;AT2G17560;AT2G27720;AT2G47110;AT3G10920;AT3G60245;AT4G34110;AT5G02450;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RRTF1_2	13	1090	186	0.0332567	0.116218	1	1	AT1G15930;AT1G72020;AT2G17560;AT2G27720;AT2G47110;AT3G10920;AT3G60245;AT4G34110;AT5G02450;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RRTF1_3ARY	13	1064	186	0.0281547	0.112619	1	1	AT1G15930;AT1G72020;AT2G17560;AT2G27720;AT2G47110;AT3G10920;AT3G60245;AT4G34110;AT5G02450;AT5G39570;AT5G47030;AT5G56670;ATMG00030;
S	ARR11	RVE1	8	917	186	0.276952	0.276952	1	1	AT1G08830;AT1G20696;AT2G01250;AT2G17560;AT3G08610;AT3G24830;AT3G45980;AT5G56670;
S	ARR11	RVE1_2	0	198	186	0.571716	0.571716	1	1	
S	ARR11_2	ARR11_3ARY	10	780	186	0.0387906	0.116372	1	1	AT1G70490;AT2G37470;AT2G47170;AT3G53740;AT3G56020;AT5G39570;AT5G56030;AT5G56670;AT5G59910;AT5G62300;
S	ARR11_2	ARR14	25	2025	186	0.00237551	0.0400854	0.441845	1	AT1G04270;AT1G09200;AT1G15930;AT1G22840;AT1G51060;AT1G67785;AT1G78900;AT1G79550;AT2G45070;AT3G02080;AT3G09500;AT3G17390;AT3G55440;AT4G14320;AT4G30010;AT4G34110;AT4G34700;AT4G40040;AT5G03850;AT5G14030;AT5G47030;AT5G56670;AT5G59690;AT5G59910;ATMG00030;
S	ARR11_2	ARR14_2	0	11	186	0.101238	0.166451	1	1	
S	ARR11_2	ARR14_3ARY	7	566	186	0.0886965	0.166451	1	1	AT1G70490;AT2G37470;AT2G47170;AT3G56020;AT5G56030;AT5G59910;AT5G62300;
S	ARR11_2	AT1G77200	13	1372	186	0.13512	0.166451	1	1	AT1G04270;AT3G17390;AT3G53020;AT3G53740;AT3G55440;AT3G56020;AT4G14320;AT5G27670;AT5G47030;AT5G56030;AT5G56670;AT5G59970;ATMG00030;
S	ARR11_2	AT5G28300	10	1180	186	0.27214	0.27214	1	1	AT1G15930;AT1G22840;AT1G51060;AT3G46430;AT3G53020;AT3G56020;AT4G34110;AT5G56670;AT5G59690;AT5G59970;
S	ARR11_2	ATERF1	16	1553	186	0.0597502	0.152706	1	1	AT1G20693;AT1G67785;AT3G02080;AT3G04120;AT3G09500;AT3G27240;AT3G53020;AT3G56020;AT4G34110;AT4G40040;AT5G27670;AT5G39570;AT5G56670;AT5G59690;AT5G59970;ATMG00030;
S	ARR11_2	ATERF1_2	16	1483	186	0.0426327	0.127898	1	1	AT1G15930;AT1G20693;AT3G02080;AT3G09500;AT3G53020;AT3G56020;AT4G14320;AT4G30010;AT4G34110;AT4G40040;AT5G27670;AT5G39570;AT5G47030;AT5G56670;AT5G59690;AT5G59970;
S	ARR11_2	CCA1	4	779	186	0.771992	0.771992	1	1	AT2G37470;AT4G34110;AT5G56670;AT5G62300;
S	ARR11_2	CCA1_2	16	1152	186	0.00499733	0.044976	0.929503	1	AT1G22840;AT1G51060;AT1G67785;AT1G78900;AT2G27710;AT2G35120;AT2G37470;AT3G27240;AT3G55440;AT4G34110;AT4G40040;AT5G39570;AT5G47030;AT5G56030;AT5G56670;AT5G62300;
S	ARR11_2	DDF1	11	1133	186	0.143085	0.166451	1	1	AT1G04270;AT1G70490;AT3G05590;AT3G17390;AT3G53020;AT3G56020;AT4G34700;AT5G15320;AT5G27670;AT5G39570;AT5G56030;
S	ARR11_2	DREB2C	19	1510	186	0.00653346	0.0522677	1	1	AT1G15930;AT1G67785;AT3G02080;AT3G04120;AT3G09500;AT3G17390;AT3G27240;AT3G53020;AT3G56020;AT4G14320;AT4G30010;AT4G34110;AT4G40040;AT5G10980;AT5G27670;AT5G39570;AT5G56670;AT5G59970;ATMG00030;
S	ARR11_2	DREB2C_2	14	1441	186	0.107512	0.166451	1	1	AT1G04270;AT3G02080;AT3G05590;AT3G17390;AT3G53020;AT3G55440;AT3G56020;AT4G14320;AT4G14880;AT5G27670;AT5G47030;AT5G56670;AT5G59970;ATMG00030;
S	ARR11_2	GLK1	13	1249	186	0.0795185	0.159037	1	1	AT1G22840;AT1G67785;AT2G35120;AT2G37470;AT2G47170;AT3G02080;AT3G27240;AT3G53740;AT4G34110;AT4G34700;AT5G03850;AT5G27670;AT5G59970;
S	ARR11_2	GLK1_2	4	592	186	0.565662	0.565662	1	1	AT1G51650;AT2G37470;AT5G27670;AT5G59910;
S	ARR11_2	KAN1	5	829	186	0.658613	0.658613	1	1	AT1G67785;AT2G37470;AT3G04120;AT3G53020;AT3G53740;
S	ARR11_2	KAN4	11	917	186	0.0464023	0.139207	1	1	AT1G20693;AT1G67785;AT1G78900;AT3G04120;AT3G46320;AT3G55440;AT5G15320;AT5G39570;AT5G59613;AT5G62300;ATMG00030;
